support,itemsets
0.22003034901365706,frozenset({'26 oz Double Wall Insulated Bottle'})
0.16995447647951442,frozenset({'8 pc Android Sticker Sheet'})
0.16995447647951442,frozenset({'Ballpoint LED Light Pen'})
0.15857359635811835,frozenset({'Foam Can and Bottle Cooler'})
0.19423368740515934,frozenset({'Four Color Retractable Pen'})
0.33990895295902884,frozenset({'Google 22 oz Water Bottle'})
0.1456752655538695,frozenset({'Google Blackout Cap'})
0.19575113808801214,frozenset({'Google Doodle Decal'})
0.17071320182094082,frozenset({'Google Kick Ball'})
0.38391502276176026,frozenset({'Google Laptop and Cell Phone Stickers'})
0.17830045523520485,"frozenset({""Google Men's  Zip Hoodie""})"
0.2701062215477997,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Black""})"
0.19499241274658574,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Navy""})"
0.1449165402124431,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Red""})"
0.2329286798179059,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee White""})"
0.212443095599393,"frozenset({""Google Men's Bike Short Sleeve Tee Charcoal""})"
0.22534142640364188,"frozenset({""Google Men's Vintage Badge Tee Black""})"
0.16995447647951442,"frozenset({""Google Men's Vintage Badge Tee Sage""})"
0.15250379362670713,"frozenset({""Google Men's Vintage Badge Tee White""})"
0.20106221547799696,frozenset({'Google Metallic Notebook Set'})
0.37101669195751136,frozenset({'Google Sunglasses'})
0.2738998482549317,frozenset({'Google Twill Cap'})
0.1418816388467375,"frozenset({""Google Women's Vintage Hero Tee Black""})"
0.21471927162367224,frozenset({'Maze Pen'})
0.2496206373292868,frozenset({'Nest Cam IQ - USA'})
0.7154779969650986,frozenset({'Nest Cam Indoor Security Camera - USA'})
0.7169954476479514,frozenset({'Nest Cam Outdoor Security Camera - USA'})
0.212443095599393,frozenset({'Nest Learning Thermostat 3rd Gen-USA - Copper'})
0.716236722306525,frozenset({'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})
0.40971168437025796,frozenset({'Nest Learning Thermostat 3rd Gen-USA - White'})
0.48406676783004554,frozenset({'Nest Protect Smoke + CO White Battery Alarm-USA'})
0.4286798179059181,frozenset({'Nest Protect Smoke + CO White Wired Alarm-USA'})
0.19802731411229135,frozenset({'Nest Secure Alarm System Starter Pack - USA'})
0.255690440060698,frozenset({'Nest Thermostat E - USA'})
0.13884673748103188,frozenset({'Recycled Paper Journal Set'})
0.17526555386949924,frozenset({'Red Shine 15 oz Mug'})
0.2291350531107739,frozenset({'Sport Bag'})
