Product_Description,Cluster_Producte
 Dog Frisbee,5
1 oz Hand Sanitizer,5
20 oz Stainless Steel Insulated Tumbler,4
22 oz Android Bottle,5
22 oz YouTube Bottle Infuser,5
23 oz Wide Mouth Sport Bottle,5
24 oz YouTube Sergeant Stripe Bottle,4
25L Classic Rucksack,5
26 oz Double Wall Insulated Bottle,5
8 pc Android Sticker Sheet,0
Android 17oz Stainless Steel Sport Bottle,1
Android 24 oz Contigo Bottle,4
Android 25 oz Green Apple Stainless Steel Bottle,4
Android BTTF Cosmos Graphic Tee,0
Android BTTF Moonshot Graphic Tee,0
Android Glass Water Bottle with Black Sleeve,4
Android Hard Cover Journal,1
Android Heavyweight Long Sleeve Badge Tee Black,4
Android Infant Short Sleeve Tee Pewter,0
Android Infant Short Sleeve Tee Pink,5
Android Journal Book Set,4
Android Large Removable Sticker Sheet,3
Android Lifted Men's Short Sleeve Tee Blue,4
Android Luggage Tag,1
Android Lunch Kit,1
Android Matrix Tee White,2
Android Men's  Zip Hoodie,0
Android Men's 3/4 Sleeve Raglan Henley Black,4
Android Men's Engineer Short Sleeve Tee Charcoal,5
Android Men's Long & Lean Badge Tee Charcoal,1
Android Men's Long Sleeve Badge Crew Tee Heather,1
Android Men's Outerstellar Short Sleeve Tee Black,0
Android Men's Paradise Short Sleeve Tee Olive,5
Android Men's Pep Rally Short Sleeve Tee Navy,1
Android Men's Short Sleeve Hero Tee Heather,1
Android Men's Short Sleeve Hero Tee White,1
Android Men's Short Sleeve Tri-blend Hero Tee Grey,5
Android Men's Skater Badge Tee Charcoal,1
Android Men's Take Charge Short Sleeve Tee Purple,5
Android Men's Vintage Henley,5
Android Men's Vintage Tank,1
Android Onesie Gold,1
Android RFID Journal,1
Android Rise 14 oz Mug,0
Android Small Removable Sticker Sheet,3
Android Spiral Journal with Pen,5
Android Sticker Sheet Ultra Removable,5
Android Stretch Fit Hat,1
Android Stretch Fit Hat M/L,1
Android Stretch Fit Hat S/M,1
Android Toddler Short Sleeve T-shirt Aqua,5
Android Toddler Short Sleeve T-shirt Pewter,4
Android Toddler Short Sleeve T-shirt Pink,4
Android Tone Hoodie Black,7
Android Twill Cap,5
Android Women's Fleece Hoodie,4
Android Women's Long Sleeve Blended Cardigan Grey,1
Android Women's Peace Tee Black,7
Android Wool Heather Cap Heather/Black,5
Android Youth Short Sleeve T-shirt Aqua,4
Android Youth Short Sleeve T-shirt Pewter,4
BLM Sweatshirt,5
Badge Holder,5
Ballpoint LED Light Pen,0
Ballpoint Pen & Matching Tube Case,4
Ballpoint Pen Blue,4
Ballpoint Stick Pen 4 Pack,4
Ballpoint Stylus Pen,5
Bottle Opener Clip,5
Collapsible Shopping Bag,5
Color Changing Grip Pen,4
Colored Pencil Set,5
Compact Selfie Stick,5
Crunch Noise Dog Toy,5
Electronics Accessory Pouch,4
Emoji Sticker Sheet,0
Engraved Ceramic Google Mug,4
Executive Twist Ballpoint Pen,4
Foam Can and Bottle Cooler,5
Four Color Retractable Pen,0
Galaxy Screen Cleaning Cloth,5
Gel Roller Pen,4
Gift Card - $25.00,5
Gift Card - $250.00,3
Gift Card - $50.00,4
Gift Card- $100.00,5
Google 17 oz Double Wall Stainless Steel Insulated Bottle,5
Google 17oz Stainless Steel Sport Bottle,5
Google 22 oz Water Bottle,0
Google 25 oz Blue Stainless Steel Bottle,4
Google 25 oz Clear Stainless Steel Bottle,4
Google 25 oz Red Stainless Steel Bottle,5
Google 3/4 Sleeve Raglan Badge Henley Black,4
Google 40 oz Insulated Monster Bottle,4
Google 5-Panel Cap,5
Google 5-Panel Snapback Cap,5
Google Accent Insulated Stainless Steel Bottle,4
Google Alpine Style Backpack,0
Google Baby Essentials Set,5
Google Ballpoint Pen Black,4
Google Blackout Cap,1
Google Braille Tee Black,7
Google Canvas Tote Natural/Navy,5
Google Collapsible Duffel Black,4
Google Collapsible Duffel Blue,4
Google Collapsible Pet Bowl,1
Google Crew Sweater Navy,2
Google Crewneck Sweatshirt Navy,2
Google Doodle Decal,0
Google Emoji Sticker Pack,2
Google Executive Umbrella,1
Google Flower Tee Purple,2
Google French Terry Cap,4
Google Hard Cover Journal,5
Google Infant Short Sleeve Tee Red,0
Google Infant Short Sleeve Tee Royal Blue,1
Google Infant Short Sleeve Tee White,5
Google Infant Zip Hood Pink,4
Google Infant Zip Hood Royal Blue,4
Google Infuser-Top Water Bottle,4
Google Insulated Stainless Steel Bottle,4
Google Kick Ball,5
Google Laptop Backpack,5
Google Laptop Tech Backpack,4
Google Laptop and Cell Phone Stickers,0
Google Large Standard Journal Navy,3
Google Leather Journal-Black,5
Google Leather Journal-Brown,4
Google Leather Perforated Journal,1
Google Luggage Tag,5
Google Lunch Bag,5
Google Men's  Zip Hoodie,5
Google Men's 100% Cotton Short Sleeve Hero Tee Black,0
Google Men's 100% Cotton Short Sleeve Hero Tee Navy,5
Google Men's 100% Cotton Short Sleeve Hero Tee Red,5
Google Men's 100% Cotton Short Sleeve Hero Tee White,5
Google Men's 3/4 Sleeve Raglan Henley Grey,4
Google Men's Airflow 1/4 Zip Pullover Black,5
Google Men's Airflow 1/4 Zip Pullover Lapis,1
Google Men's Around The Block Short Sleeve Tee Ash,4
Google Men's Bayside Graphic Tee,0
Google Men's Bike Short Sleeve Tee Charcoal,5
Google Men's Colorblock Tee White/Heather,1
Google Men's Convertible Vest-Jacket Pewter,4
Google Men's Lightweight Microfleece Jacket Black,0
Google Men's Long & Lean Tee Charcoal,1
Google Men's Long & Lean Tee Grey,1
Google Men's Long Sleeve Pullover Badge Tee Heather,4
Google Men's Long Sleeve Raglan Cranberry,4
Google Men's Long Sleeve Raglan Ocean Blue,5
Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,0
Google Men's Performance 1/4 Zip Pullover Heather/Black,0
Google Men's Performance Full Zip Jacket Black,5
Google Men's Performance Hero Tee Gunmetal,4
Google Men's Performance Polo Grey/Black,4
Google Men's Pullover Hoodie Grey,5
Google Men's Quilted Insulated Vest Battleship Grey,5
Google Men's Quilted Insulated Vest Black,0
Google Men's Short Sleeve Badge Tee Charcoal,0
Google Men's Short Sleeve Hero Tee Charcoal,5
Google Men's Short Sleeve Hero Tee Heather,5
Google Men's Short Sleeve Hero Tee Light Blue,1
Google Men's Short Sleeve Performance Badge Tee Black,5
Google Men's Short Sleeve Performance Badge Tee Charcoal,1
Google Men's Short Sleeve Performance Badge Tee Navy,5
Google Men's Short Sleeve Performance Badge Tee Pewter,1
Google Men's Skater Tee Grey,1
Google Men's Vintage Badge Tee Black,1
Google Men's Vintage Badge Tee Sage,1
Google Men's Vintage Badge Tee White,1
Google Men's Vintage Tank,5
Google Men's Watershed Full Zip Hoodie Grey,5
Google Metallic Notebook Set,0
Google Onesie Green,4
Google Onesie Red,4
Google Onesie Red/Graphite,5
Google Onesie Royal Blue,4
Google Pet Feeding Mat,1
Google Protector Tee Navy,2
Google RFID Journal,1
Google Rolltop Backpack Blue,2
Google Rucksack,0
Google Slim Utility Travel Bag,5
Google Snapback Black Cap,2
Google Snapback Hat Black,5
Google Snapback Navy Cap,2
Google Spiral Journal with Pen,5
Google Spiral Leather Journal,1
Google Stretch Fit Hat M/L Navy,4
Google Stretch Fit Hat S/M Navy,5
Google Stylus Pen w/ LED Light,0
Google Sunglasses,0
Google Tee Blue,2
Google Tee Green,2
Google Tee Yellow,7
Google Thermal Bottle Blue,6
Google Thermal Bottle Green,6
Google Thermal Bottle Red,6
Google Thermal Bottle Yellow,6
Google Toddler 1/4 Zip Fleece Pewter,4
Google Toddler Hoodie Royal Blue,4
Google Toddler Raglan Shirt Blue Heather/Navy,4
Google Toddler Short Sleeve T-shirt Grey,5
Google Toddler Short Sleeve T-shirt Royal Blue,5
Google Toddler Short Sleeve Tee Red,1
Google Toddler Short Sleeve Tee White,5
Google Toddler Sports T-shirt Red,4
Google Tote Bag,5
Google Tri-blend Hoodie Grey,5
Google Trike Tee Black,3
Google Trucker Hat,4
Google Twill Cap,0
Google Vintage Henley Grey/Black,5
Google Women's 1/4 Zip Jacket Charcoal,5
Google Women's 1/4 Zip Performance Pullover Black,1
Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,1
Google Women's Convertible Vest-Jacket Black,1
Google Women's Convertible Vest-Jacket Sea Foam Green,1
Google Women's Fleece Hoodie,4
Google Women's Lightweight Microfleece Jacket,1
