Product_Description,1,2,3,4,5,6,7,8,9,10,11,12,Cluster_Producte
 Dog Frisbee,13,5,15,10,18,12,13,11,24,22,1,0,3
1 oz Hand Sanitizer,10,15,11,14,13,9,9,18,23,7,0,0,3
20 oz Stainless Steel Insulated Tumbler,10,19,22,22,17,14,9,0,0,0,0,0,7
22 oz Android Bottle,9,14,16,11,14,13,22,19,19,2,0,0,3
22 oz YouTube Bottle Infuser,7,5,8,9,12,9,18,19,22,20,0,0,5
23 oz Wide Mouth Sport Bottle,7,5,3,8,1,1,13,19,15,4,0,9,5
24 oz YouTube Sergeant Stripe Bottle,20,11,29,12,12,10,0,0,0,0,0,0,4
25L Classic Rucksack,3,6,7,7,7,3,8,11,6,8,4,0,3
26 oz Double Wall Insulated Bottle,28,26,32,16,39,28,44,87,71,37,0,0,5
8 pc Android Sticker Sheet,13,8,21,23,22,22,18,19,26,29,33,24,3
Android 17oz Stainless Steel Sport Bottle,3,6,7,4,5,4,15,42,0,0,0,0,5
Android 24 oz Contigo Bottle,1,2,12,11,20,0,0,0,0,0,0,0,6
Android 25 oz Green Apple Stainless Steel Bottle,3,1,4,2,1,0,0,0,0,1,0,0,4
Android BTTF Cosmos Graphic Tee,4,2,18,6,7,7,7,9,7,13,27,18,0
Android BTTF Moonshot Graphic Tee,5,3,22,10,20,7,11,11,11,19,17,5,3
Android Glass Water Bottle with Black Sleeve,7,4,11,0,0,0,0,0,0,0,0,0,2
Android Hard Cover Journal,1,2,0,0,0,0,3,2,8,0,0,0,5
Android Heavyweight Long Sleeve Badge Tee Black,4,1,6,0,0,0,0,0,0,1,0,0,2
Android Infant Short Sleeve Tee Pewter,1,3,2,6,3,1,3,14,4,17,2,0,5
Android Infant Short Sleeve Tee Pink,1,0,0,5,2,2,7,0,0,0,0,0,1
Android Journal Book Set,5,5,5,3,1,5,0,0,0,0,0,0,4
Android Large Removable Sticker Sheet,0,0,0,0,0,0,0,0,0,6,23,13,0
Android Lifted Men's Short Sleeve Tee Blue,3,5,11,9,6,9,4,2,0,0,0,0,7
Android Luggage Tag,2,4,1,5,3,1,2,6,9,0,0,0,3
Android Lunch Kit,2,1,2,0,3,2,7,26,1,0,0,0,5
Android Men's  Zip Hoodie,8,3,8,3,10,4,4,6,4,23,5,0,3
Android Men's 3/4 Sleeve Raglan Henley Black,3,0,11,1,0,0,0,0,0,0,0,0,2
Android Men's Engineer Short Sleeve Tee Charcoal,4,3,13,3,9,12,6,13,12,3,0,0,3
Android Men's Long & Lean Badge Tee Charcoal,0,0,3,0,6,5,25,21,0,0,0,0,5
Android Men's Long Sleeve Badge Crew Tee Heather,0,0,0,8,7,2,20,6,0,0,0,0,1
Android Men's Outerstellar Short Sleeve Tee Black,3,4,10,4,12,11,8,10,10,15,23,4,3
Android Men's Paradise Short Sleeve Tee Olive,4,1,7,2,5,9,8,7,0,0,0,0,3
Android Men's Pep Rally Short Sleeve Tee Navy,3,0,4,17,20,18,15,24,20,2,0,0,1
Android Men's Short Sleeve Hero Tee Heather,1,0,7,7,10,6,33,56,21,6,0,0,5
Android Men's Short Sleeve Hero Tee White,1,3,1,5,1,2,4,5,4,4,0,0,3
Android Men's Short Sleeve Tri-blend Hero Tee Grey,8,1,14,18,15,2,5,4,6,7,0,0,7
Android Men's Skater Badge Tee Charcoal,0,1,2,0,3,1,10,0,0,0,0,0,1
Android Men's Take Charge Short Sleeve Tee Purple,2,0,5,8,12,19,20,26,2,1,0,0,1
Android Men's Vintage Henley,0,2,4,5,5,4,15,3,0,0,1,0,1
Android Men's Vintage Tank,1,2,4,5,10,10,14,32,4,13,3,0,5
Android Men's Vintage Tee,1,1,3,2,0,0,0,0,0,0,0,0,4
Android Onesie Baby Blue,0,3,4,6,0,0,0,0,0,0,0,0,4
Android Onesie Gold,0,2,12,4,7,11,12,21,8,12,0,0,5
Android Onesie Sprout Green,1,3,3,5,0,0,0,0,0,0,0,0,4
Android RFID Journal,1,0,1,3,1,2,9,18,14,0,0,0,5
Android Rise 14 oz Mug,17,13,11,18,23,28,16,32,25,21,40,6,3
Android Small Removable Sticker Sheet,0,0,0,0,0,0,0,0,0,14,35,18,0
Android Spiral Journal with Pen,0,0,3,2,5,5,4,0,0,0,0,0,6
Android Sticker Sheet Ultra Removable,20,17,29,22,21,24,18,25,24,3,0,3,3
Android Stretch Fit Hat,0,0,2,3,0,3,6,23,2,0,0,0,5
Android Stretch Fit Hat L/XL,0,0,2,3,4,0,0,0,0,0,0,0,6
Android Stretch Fit Hat M/L,1,1,0,2,5,7,6,2,0,0,0,0,1
Android Stretch Fit Hat S/M,0,0,0,0,1,3,5,3,0,0,0,0,1
Android Toddler Short Sleeve T-shirt Aqua,2,5,3,6,4,4,5,0,0,0,0,0,7
Android Toddler Short Sleeve T-shirt Pewter,3,2,6,7,6,7,2,0,0,0,0,0,7
Android Toddler Short Sleeve T-shirt Pink,5,2,3,6,6,8,4,0,0,0,0,0,7
Android Twill Cap,4,5,7,7,2,10,4,7,11,0,0,0,3
Android Women's Fleece Hoodie,3,2,4,0,2,2,2,0,0,0,0,0,4
Android Women's Long Sleeve Blended Cardigan Grey,2,7,6,7,7,5,10,17,9,7,0,0,5
Android Women's Short Sleeve Badge Tee Light Charcoal,0,1,2,1,0,0,0,0,0,0,0,0,4
Android Wool Heather Cap Heather/Black,0,5,1,8,6,11,15,0,0,0,0,0,1
Android Youth Short Sleeve T-shirt Aqua,0,2,10,5,5,4,5,0,0,0,0,0,7
Android Youth Short Sleeve T-shirt Pewter,4,2,5,6,4,5,3,0,0,0,0,0,7
BLM Sweatshirt,0,87,0,81,234,7,1,12,10,13,0,0,6
Badge Holder,34,14,24,18,33,20,17,27,35,32,1,0,3
Ballpoint LED Light Pen,16,12,14,8,12,14,18,30,27,21,51,57,0
